title,price,url,image
"Бавовняний джемпер FREYJA CTN 4419/230 dark brown (коричневий)",1999,https://giulia.com.ua/bavovnyanyy-dzhemper-freyja-ctn-4419-230-dark-brown-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-CTN-4419-230-dark-brown-1-258x356.JPG
"Бавовняний джемпер FREYJA CTN 4419/230 light brown (коричневий)",1999,https://giulia.com.ua/bavovnyanyy-dzhemper-freyja-ctn-4419-230-light-brown-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-CTN-4419-230-light-brown-1-258x356.JPG
"Джемпер з рукавами 3/4 FREYJA KNT 4419/230 navy (синій)",2199,https://giulia.com.ua/dzhemper-z-rukavamy-3-4-freyja-knt-4419-230-navy-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-KNT-4419-230-navy-1-258x356.JPG
"Бавовняне худі STREET STYLE 4424/160 cappuccino (коричневий)",1099,https://giulia.com.ua/bavovnyane-khudi-street-style-4424-160-cappuccino-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/STREET-STYLE-4424-160-cappuccino-1-258x356.JPG
"Бавовняний світшот STREET STYLE 4423/160 cappuccino (коричневий)",1049,https://giulia.com.ua/bavovnyanyy-svitshot-street-style-4423-160-cappuccino-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/STREET-STYLE-4423-160-cappuccino-1-258x356.JPG
"Бавовняний світшот STREET STYLE 4423/160 jeans (фіолетовий)",1049,https://giulia.com.ua/bavovnyanyy-svitshot-street-style-4423-160-jeans-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/STREET-STYLE-4423-160-jeans-1-258x356.JPG
"Світшот з велюру SOFT WINTER 4405/080 navy (синій)",649,https://giulia.com.ua/svitshot-z-velyuru-soft-winter-4405080-navy-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SOFT-WINTER-4405-080-navy-1-258x356.JPG
"Джемпер подовжений FREYJA 4421/230 black (чорний)",2349,https://giulia.com.ua/dzhemper-podovzhenyy-freyja-4421-230-black-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-4421-230-black-1-258x356.JPG
"Джемпер подовжений FREYJA KNT 4421/230 red (червоний)",2349,https://giulia.com.ua/dzhemper-podovzhenyy-freyja-knt-4421-230-red-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-4421-230-red-1-258x356.jpg
"Джемпер поло подовжений FREYJA 4422/230 black (чорний)",2939,https://giulia.com.ua/dzhemper-polo-podovzhenyy-freyja-4422-230-black-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-4422-230-black-1a-258x356.JPG
"Джемпер поло подовжений FREYJA KNT 4422/230 red (червоний)",2449,https://giulia.com.ua/dzhemper-polo-podovzhenyy-freyja-knt-4422-230-red-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-4422-230-red-1-258x356.JPG
"Світшот з велюру SOFT WINTER 4405/080 mint (блакитний)",649,https://giulia.com.ua/svitshot-z-velyuru-soft-winter-4405080-mint-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SOFT-WINTER-4405-080-mint-1-258x356.JPG
"Світшот з велюру SOFT WINTER 4405/080 smoky blue (блакитний)",649,https://giulia.com.ua/svitshot-z-velyuru-soft-winter-4405080-smoky-blue-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SOFT-WINTER-4405-080-smoky-blue-1-258x356.JPG
"Світшот з велюру SOFT WINTER 4405/080 winery (бордовий)",649,https://giulia.com.ua/svitshot-z-velyuru-soft-winter-4405080-winery-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SOFT-WINTER-4405-080-winery-1-258x356.JPG
"Тонкий джемпер з шерсті меріноса FREYJA 4419/230 beige (бежевий)",1539,https://giulia.com.ua/tonkyy-dzhemper-z-shersti-merinosa-freyja-4419-230-beige-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-4419-230-beige-1-258x356.jpg
"Тонкий джемпер з шерсті меріноса FREYJA 4419/230 black (чорний)",1539,https://giulia.com.ua/tonkyy-dzhemper-z-shersti-merinosa-freyja-4419-230-black-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-4419-230-black-1-258x356.jpg
"Тонкий джемпер з шерсті меріноса FREYJA 4419/230 white (білий)",1539,https://giulia.com.ua/tonkyy-dzhemper-z-shersti-merinosa-freyja-4419-230-white-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/FREYJA-4419-230-white-1-258x356.jpg
"Худі вкорочений з необробленими швами STREET STYLE 4418/160 grey melange (сірий)",629,https://giulia.com.ua/khudi-vkorochenyy-z-neobroblenymy-shvamy-street-style-4418-160-grey-melange-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/STREET-STYLE-4418-160-grey-melange-1-258x356.JPG
"Світшот на блискавці з трьохнитки STREET STYLE 4416/160 magenta purple (фіолетовий)",949,https://giulia.com.ua/svitshot-na-blyskavtsi-z-trokhnytky-street-style-4416-160-magenta-purple-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/STREET-STYLE-4416-160-magenta-purple-1-258x356.jpg
"Світшот з велюру SOFT WINTER 4405/080 brown (коричневий)",389,https://giulia.com.ua/svitshot-z-velyuru-soft-winter-4405080-brown-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SOFT-WINTER-4405-080-brown-1-258x356.jpg
"Світшот на блискавці SPORT STYLE 4416/170 plum (фіолетовий)",539,https://giulia.com.ua/svitshot-na-blyskavtsi-sport-style-4416-170-plum-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SPORT-STYLE-4416-170-plum-1-258x356.jpg
"Світшот на флісі SPORT STYLE 4413/170 plum (фіолетовий)",479,https://giulia.com.ua/svitshot-na-flisi-sport-style-4413-170-plum-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SPORT-STYLE-4413-170-plum-1-258x356.jpg
"В'язана водолазка в рубчик WARMLY TOUCH 4904/150 dark beige (бежевий)",389,https://giulia.com.ua/vyazana-vodolazka-v-rubchyk-warmly-touch-4904-150-dark-beige-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/WARMLY-TOUCH-4904-150-dark-beige-1-258x356.jpg
"В'язана водолазка в рубчик WARMLY TOUCH 4904/150 light beige (бежевий)",389,https://giulia.com.ua/vyazana-vodolazka-v-rubchyk-warmly-touch-4904-150-light-beige-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/WARMLY-TOUCH-4904-150-light-beige-1-258x356.jpg
"Світшот з велюру SOFT WINTER 4405/080 taupe (коричневий)",389,https://giulia.com.ua/svitshot-z-velyuru-soft-winter-4405080-taupe-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SOFT-WINTER-4405-080-taupe-1-258x356.jpg
"Велюровий топ з V-подібним вирізом та мереживом SOFT WINTER 4411/081 black (чорний)",389,https://giulia.com.ua/velyurovij-top-z-v-podibnim-virizom-ta-merezhivom-soft-winter-4411081-black-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SOFT-WINTER-4411-081-black-1-258x356.jpg
"Світшот з велюру SOFT WINTER 4405/080 emerald (зелений)",389,https://giulia.com.ua/svitshot-z-velyuru-soft-winter-4405080-emerald-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SOFT-WINTER-4405-080-emerald-1-258x356.jpg
"Світшот укорочений з необробленим краєм STREET STYLE 4415/180 beige (бежевий)",549,https://giulia.com.ua/svitshot-ukorochenyy-z-neobroblenym-krayem-street-style-4415-180-beige-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/STREET-STYLE-4415-180-beige-1-258x356.jpg
"Світшот укорочений з необробленим краєм STREET STYLE 4415/180 graphite (сірий)",329,https://giulia.com.ua/svitshot-ukorochenyy-z-neobroblenym-krayem-street-style-4415-180-graphite-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/STREET-STYLE-4415-180-graphite-1-258x356.jpg
"Світшот укорочений з необробленим краєм STREET STYLE 4415/180 navy (синій)",329,https://giulia.com.ua/svitshot-ukorochenyy-z-neobroblenym-krayem-street-style-4415-180-navy-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/STREET-STYLE-4415-180-navy-1-258x356.jpg
"Світшот укорочений з необробленим краєм STREET STYLE 4415/180 milk (жовтий)",549,https://giulia.com.ua/svitshot-ukorochenyy-z-neobroblenym-krayem-street-style-4415-180-milk-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/STREET-STYLE-4415-180-milk-1-258x356.jpg
"Світшот на флісі SPORT STYLE 4413/170 khaki (хакі)",479,https://giulia.com.ua/svitshot-na-flisi-sport-style-4413-170-khaki-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SPORT-STYLE-4413-170-khaki-1-258x356.jpg
"В'язана водолазка в рубчик WARMLY TOUCH 4904/150 grey (сірий)",389,https://giulia.com.ua/vyazana-vodolazka-v-rubchyk-warmly-touch-4904-150-grey-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/WARMLY-TOUCH-4904-150-grey-1-258x356.JPG
"Велюровий топ з V-подібним вирізом та мереживом SOFT WINTER 4411/081 blue (блакитний)",389,https://giulia.com.ua/velyurovyy-top-z-v-podibnym-vyrizom-ta-merezhyvom-soft-winter-4411-081-blue-blakytnyy-giulia,https://giulia.com.ua/image/cache/catalog/Odezhda-dlya-doma-i-sna/svitshoty/SOFT-WINTER-4411-081-blue-1a-258x356.jpg
